artifact_id,path,sha256,created_at,producer,command,seed,wall_seconds,cpu_seconds,peak_memory_bytes,outcome,verification
ART-012,results/logs/unlabeled-n07-r00-of-01.json,8fcdccdcdc016b4ff24abe9f6d0d6122143187c4cf69a99ee213072335a02183,2026-07-25T13:45:39-07:00,root,"PYTHONPATH=src python3 -m search.unlabeled_regression --order 7 --residue 0 --modulus 1 --geng tools/nauty2_9_3/geng --checkpoint results/checkpoints/unlabeled-n07-r00-of-01.json --output results/logs/unlabeled-n07-r00-of-01.json",,2.414059,2.416417,26984448,"853 connected unlabeled graphs; no gamma-infinity/clique-cover gap","nauty 2.9.3 generation; A/B agreement at every k"
ART-013,results/logs/unlabeled-n08-r00-of-01.json,7da35f567387feed750c6fbce63aeb4a5bfcf88b511bbe83928c2162a26e6ad2,2026-07-25T13:46:50-07:00,root,"PYTHONPATH=src python3 -m search.unlabeled_regression --order 8 --residue 0 --modulus 1 --geng tools/nauty2_9_3/geng --checkpoint results/checkpoints/unlabeled-n08-r00-of-01.json --output results/logs/unlabeled-n08-r00-of-01.json",,70.453028,70.116157,27328512,"11117 connected unlabeled graphs; no gamma-infinity/clique-cover gap","nauty 2.9.3 generation; A/B agreement at every k; separately reproduced by hostile oracle"
ART-014,reviews/private_lemma_hostile_review.md,7cbcd51809719f4c07c666ac8617433c00e01e076d119896bee9e6022502e896,2026-07-25T13:53:11-07:00,private_lemma_review,"independent mathematical and exhaustive hostile audit plus fix re-audit",,,,,"maximum-independent-state and private-neighborhood results accepted; all findings resolved","13599 unlabeled graphs through order 8; 565 explicit eternal families; 532138 swap instances; 20000 malformed-certificate fuzz cases"
ART-015,reviews/verifier_hostile_review.md,2a1223304b2c50f19cfd4c14ccad5f054696d0263b04b966abb62e82951c9725,2026-07-25T13:49:34-07:00,verifier_hostile_review,"independent oracle and hostile input audit plus two fix re-audits",,,,,"both evaluator cores accepted on valid input; all reported parser/checker findings resolved","11117 connected order-8 graphs; 2200 random graphs through order 12; all 56 MMV records; malformed certificate and graph6 probes"
ART-016,results/mmv2022_theta_certificates.csv,9b6ad5efb01e55997ae5f9817e38e9457bd36ab2ee941da2ec1e2bd8bfc820fb,2026-07-25T13:55:05-07:00,root,"PYTHONPATH=src python3 -m search.certify_mmv2022_theta --catalog instances/mmv2022_table9.csv --certificate-dir certificates/mmv2022_theta_k3 --manifest results/mmv2022_theta_certificates.csv --log results/logs/mmv2022-theta-certificates.json",,0.094038,0.153918,26279936,"56 direct complement 4-colorings and 56 replayed non-3-colorability traces; theta=4 exactly","each row binds graph/k/path/node count and byte/trace/claim SHA-256; checker replayed every branch"
ART-017,results/logs/mmv2022-theta-certificates.json,5715c4bc73affc1873d9ed7783cfaba005ad1530bec8c80e8debdbb30d975822,2026-07-25T13:55:05-07:00,root,"same run as ART-016",,0.094038,0.153918,26279936,"56 certificates; 6098 trace nodes; 304941 bytes total","ordered certificate-set SHA-256 and manifest SHA-256 embedded"
ART-018,reviews/theta_trace_hostile_review.md,a9e1b6cfe483835a5af41121bb0f8c8ae17c0071b42cc0c19c9449edf475e9c0,2026-07-25T14:09:07-07:00,theta_trace_review,"independent direct clique-partition oracle and hostile proof-stream audit plus fix re-audit",,,,,"theta lower-bound trace accepted unconditionally for bounded campaign inputs; all findings resolved","6505 exhaustive claims through order 5; all 56 MMV traces; 1027 tamper/truncation cases; huge-integer hardening probes"
ART-019,reviews/complement_k3_hostile_review.md,4c26346e7d7f26cd7fb1fc7e7d27621687861e29266f415916b178e44babd437,2026-07-25T13:59:48-07:00,k3_dictionary_review,"independent line-by-line and exhaustive complement-translation audit plus fix confirmation",,,,,"all static and one-guard complement equivalences accepted unconditionally","33867 labeled graphs through order 6 and every k; G-side and complement-side greatest fixed points agree"
ART-020,literature/audit.csv,6c8cd2a6ea5f335081daff172c6e8b92a6af37571c9c8d265e2e2f181806445b,2026-07-25T15:25:00-07:00,literature_audit,"primary-source, current-resolution, and targeted structural-novelty audit through 2026-07-25",,,,,"31 model-tagged source/query records; no universal resolution located; classical odd-cycle theorem and search-limited novelty check added","valid CSV; exact primary-source status and follow-up action recorded per row; negative novelty search explicitly not treated as proof"
ART-021,literature/status.md,c47459f89241f98104bce37abdd2d2ef4e79c9129aa79b9d6a1706745540a07f,2026-07-25T14:55:00-07:00,root,"integrated Phase 0 literature and data audit",,,,,"attribution/catalog/class/construction/generation/variant ledgers checkpointed; one-guard odd-cycle value added","original 2009 scan visually checked; arXiv TeX and primary/author-hosted PDFs directly inspected"
ART-022,reviews/extension_scope_hostile_review.md,a2067b208c7b8d0c7c915c36dfd8db668d21c48c89500a3305209417a1a75c5d,2026-07-25T14:13:00-07:00,extension_scope_review,"independent mathematical and coverage audit of one-vertex-extension kill-test scope",,,,,"accepted exact 55-host cover, 110537 raw count, sound 4094-case prune, and three-condition equivalence","catalog recount; connectivity traversal; arithmetic and iff proof audit; five focused engine tests"
ART-023,literature/sources/README.md,5288450b316f10418c1716e7b268b1341a2d78922fab25b0a1a5838a063b4f5f,2026-07-25T14:55:00-07:00,root,"local primary-source provenance and SHA-256 ledger",,,,,"critical source archives and extracted TeX bound to stable identifiers","SHA-256 recomputation; source status cross-linked from literature audit"
ART-024,results/logs/unlabeled-n09-all.json,547594bf981c627a969f7661d695af9cd2121e8e71ed3ca42833ce898b2b1021,2026-07-25T14:54:25-07:00,root,"PYTHONPATH=src python3 -m search.aggregate_unlabeled --order 9 --modulus 8 --pattern results/logs/unlabeled-n09-r{residue:02d}-of-08.json --expected-count 261080 --output results/logs/unlabeled-n09-all.json",,4435.494049,4351.841031,28033024,"261080 connected unlabeled order-9 graphs; no gamma-infinity/clique-cover gap; published aggregate counts reproduced","all eight residues present exactly once; shard file and graph-stream hashes embedded; A/B agreement at every k"
ART-025,math/lemmas/k3_structural_day1.md,00d6fb851a3cb50ed907a593b0379376571251f8604974b5b67e05e2b0705d6e,2026-07-25T14:55:00-07:00,root,"direct proof of odd-wheel obstruction and order-12 SPGT template split",,,,,"proved structural restrictions for the k=3 complement target","accepted by ART-026"
ART-026,reviews/k3_structural_hostile_review.md,f2b0ce3d551576d5050bb03c7e8699bdffdb3ae35fbf5d3cf4b28c4e4ab270bc,2026-07-25T14:36:00-07:00,k3_structural_review,"independent line-by-line hostile audit plus separate implementation",,,,,"odd-wheel obstruction and four-branch template split accepted; no critical/high/medium defect","independent counts at orders 6-8 and induced-monotonicity dependency audit"
ART-027,src/search/extension_killtest.py,44c6db503a41def3074099cfedd098ba3138cfc22b6cf12676c57c2081f1295d,2026-07-25T14:39:00-07:00,root,"validation-gated resumable engine for the complete one-vertex-extension kill test",,,,,"engine accepted for launch over exactly 110537 raw origins; production run not yet represented by this row","ART-028 tests and ART-030 hostile audit; runtime-source manifest binds evaluator dependencies"
ART-028,tests/test_extension_killtest.py,b74f670af8a889cbb862430f3fc406315e4f2f17577d41c75ec7ea8c9c834d02,2026-07-25T14:39:00-07:00,root,"PYTHONPATH=src PYTHONWARNINGS=error python3 -m unittest -v tests.test_extension_killtest",,0.217,,,"16 of 16 focused tests passed; full campaign suite 77 of 77","candidate-state, crash, path, provenance, runtime-binding, exact-mask and canonicalization probes"
ART-029,math/extension_engine_protocol.md,081e10c6eb9eb379f663b126eff5c6ebfc650a88229b85efa62d89fdeb99a613,2026-07-25T14:39:00-07:00,root,"search coverage, transaction, provenance, freeze and certification protocol",,,,,"binds the 110537-origin mathematical universe to the executable engine","accepted by ART-030"
ART-030,reviews/extension_engine_hostile_review.md,455d9403d99f8099475cdf23191a63b48f886dc97b8acda9ed8ac2b1d63d16a8,2026-07-25T14:39:00-07:00,extension_engine_review,"independent hostile correctness, crash, candidate and provenance audit",,,,,"accepted exact engine hash for validation-gated search; no critical/high/medium defect","16 focused tests, hostile failure injection, full 77-test suite; finite claim withheld pending independent post-run audit"
ART-031,literature/sources/goddard_hedetniemi_2005.pdf,46cf4f4516105514ddc362b77c3401f468b27505a7165aec0280e0983183ff7c,2026-07-25T14:51:00-07:00,root,"downloaded author-hosted primary paper Eternal Security in Graphs",,,,,"Theorem 3 verifies the classical one-guard odd-cycle and odd-antihole values","model and theorem lines directly inspected; provenance recorded in ART-020 and ART-023"
ART-032,src/search/k3_wheel_probe.py,fa438e526d8a459d4cb361de4e2e8aa44d907095ea3365f82ace7083d60b9a74,2026-07-25T14:36:00-07:00,root,"PYTHONPATH=src python3 src/search/k3_wheel_probe.py --geng tools/nauty2_9_3/geng 6 7 8",,,,,"static targets 0,5,78; odd-wheel rejections 0,2,47","A/B parameters and eternal values plus two wheel recognizers"
ART-033,reviews/k3_structural_hostile_probe.py,8150d6cfa6f6b45440fc1f6f0fff9e499a25c7e9cd0bf8a08b5cd11fb4109aa9,2026-07-25T14:36:00-07:00,k3_structural_review,"independently written structural probe",,,,,"reproduced all small-order counts and rejection implications","no import of the campaign wheel recognizer"
ART-034,results/logs/unlabeled-n09-r00-of-08.json,56d82c5b646f291bdb60f8dfed70b03e56df51089a792404a417f25cf1eb4576,2026-07-25T14:26:00-07:00,root,"order-9 connected nauty residue 0/8 exact A/B regression",,730.342807,714.554488,28033024,"44686 graphs; complete; no gap","included and hash-bound by ART-024"
ART-035,results/logs/unlabeled-n09-r01-of-08.json,c9862e10d980daef24c7928bc1b940e4f19f3ae36f6f611be67c6ae4dadbbdb0,2026-07-25T14:24:00-07:00,root,"order-9 connected nauty residue 1/8 exact A/B regression",,591.301840,578.603764,27394048,"35236 graphs; complete; no gap","included and hash-bound by ART-024"
ART-036,results/logs/unlabeled-n09-r02-of-08.json,f4ff455ce010ec5461897c4cdfe9fd45aaae9c941b5282233385687d85939875,2026-07-25T14:38:00-07:00,root,"order-9 connected nauty residue 2/8 exact A/B regression",,645.798234,631.037390,27000832,"38391 graphs; complete; no gap","included and hash-bound by ART-024"
ART-037,results/logs/unlabeled-n09-r03-of-08.json,c0aef5fc59dfb63eabd03dd16f5f16d2c25cee58a5367442382e0fc97bb7b34c,2026-07-25T14:53:00-07:00,root,"order-9 connected nauty residue 3/8 exact A/B regression",,345.267526,341.016326,27639808,"18939 graphs; complete; no gap","included and hash-bound by ART-024"
ART-038,results/logs/unlabeled-n09-r04-of-08.json,2876f65423333e38d2902fe7bcc20a8b9cf4f39900426d252d855801d5eff437,2026-07-25T14:47:00-07:00,root,"order-9 connected nauty residue 4/8 exact A/B regression",,370.015479,365.617272,27492352,"20847 graphs; complete; no gap","included and hash-bound by ART-024"
ART-039,results/logs/unlabeled-n09-r05-of-08.json,a92880f37de36689534dca9d8b538590304114c8a9921731b6171221e40ba615,2026-07-25T14:53:00-07:00,root,"order-9 connected nauty residue 5/8 exact A/B regression",,238.995693,236.409951,27230208,"12060 graphs; complete; no gap","included and hash-bound by ART-024"
ART-040,results/logs/unlabeled-n09-r06-of-08.json,f097604975de4f9a8bb62bf89fc6d999d5dfe04b6de1233354c0079c2245c482,2026-07-25T14:40:00-07:00,root,"order-9 connected nauty residue 6/8 exact A/B regression",,942.015796,920.828700,27279360,"56096 graphs; complete; no gap","included and hash-bound by ART-024"
ART-041,results/logs/unlabeled-n09-r07-of-08.json,62edb2619ae56e335624fb0c4e34f622e2d598be63ec980eac37d30017166692,2026-07-25T14:48:00-07:00,root,"order-9 connected nauty residue 7/8 exact A/B regression",,571.756674,563.773140,26771456,"34825 graphs; complete; no gap","included and hash-bound by ART-024"
ART-042,results/checkpoints/extensions.sqlite3,06d294195dd46ac0e75f29f176f5f40240e016b33ac56c8890d638d3085ac4b7,2026-07-25T15:06:00-07:00,root,"PYTHONPATH=src PYTHONWARNINGS=error python3 -m search.extension_killtest --validation-gate-open --batch-size 256 --wall-limit-seconds 2700 --memory-limit-mib 1024",,140.446446,135.654864,37814272,"110537 origins complete; 54216 global canonical graphs; zero candidate indicators","ACID origin/canonical ledger; configuration and runtime-source hashes bound by ART-043 and independently reconstructed by ART-046"
ART-043,results/checkpoints/extensions.json,2b190ec2a60585e4485af80b5dc09bd1dad2df710d33e7d3869bc269570fe6da,2026-07-25T15:06:00-07:00,root,"same run as ART-042",,140.446446,135.654864,37814272,"complete checkpoint with 55 of 55 hosts and 110537 of 110537 origins","binds database, inputs, engine/evaluator sources, category counts and exported CSV hashes"
ART-044,results/extensions_provenance.csv,0a4dfb405c812a93ee60755110a60f380f7f565f608a461ad9df2833474bd782,2026-07-25T15:06:00-07:00,root,"same run as ART-042",,140.446446,135.654864,37814272,"110537 ordered host/neighborhood origins","every origin retained with canonical key and category; independently reconstructed by ART-046"
ART-045,results/extensions_unique.csv,e7f0ffa459d74a67a3a647e19ee5669652ff1679302b3b62daaef299ee02945e,2026-07-25T15:06:00-07:00,root,"same run as ART-042",,140.446446,135.654864,37814272,"54216 unique canonical one-vertex extensions","canonical multiplicities sum to 110537; every mathematical category independently replayed by ART-049"
ART-046,results/extension_coverage_audit.json,523b3a57ef9afac2b8c921564afcf3fcd8fdbe7719984014f3b0f8e80da8e7cb,2026-07-25T15:10:00-07:00,root,"PYTHONPATH=src PYTHONWARNINGS=error python3 -m coverage_checker --checkpoint-interval 256 --wall-limit-seconds 2700 --memory-limit-mib 1024",,71.939935,,42598400,"passed: all 110537 origins reconstructed and mapped to all 54216 unique keys","standalone strict graph6 parser and exact isomorphism backtracker; source/input/output hashes and origin chain embedded; hostile audit pending"
ART-047,results/checkpoints/extensions_coverage_audit.sqlite3,01687596bd6c46974432aa06cfd14068fb8c49ea3ac39050971eeb4879818859,2026-07-25T15:10:00-07:00,coverage_checker,"same run as ART-046",,71.939935,,42598400,"complete resumable independent coverage state","bound by ART-046; 110537 origin rows and exact mapping receipts"
ART-048,src/coverage_checker/audit.py,7515e9df658a3d63298242bfa4e6cfbdb167e088e47de5776ef6c01b7a4f9b64,2026-07-25T15:10:00-07:00,root,"standalone extension coverage/isomorphism checker",,,,,"coverage-checker source-set SHA256 25e9eaa16765272d6dc5df4ea06f72f858faf3bb443f838e47e0851a381b74cd","100-test campaign suite passed at production checkpoint; exact source manifest embedded in ART-046"
ART-049,results/extensions_evaluation_certificates.ndjson,b0b69bab812622adac672806567ddb36db8cdee6768bf45d53c9f3a77374bf77,2026-07-25T15:20:00-07:00,k3_structural_review,"PYTHONPATH=src python3 -m evaluation_checker followed by two internal replays and a separate --verify-only replay",,40.232674,,29982720,"54216 per-row mathematical certificates; zero surviving candidates","record-stream SHA256 a2c8df5841b5889c5e431a0e20f01619a6598af4db2c7e8c2b9ee32726f6352a; independent ordinary-set one-guard implementation"
ART-050,results/extensions_evaluation_audit.json,75c999e19fb3e877083e4612dd2550079480ad610b67a5caefb0fbf6d303678e,2026-07-25T15:20:00-07:00,k3_structural_review,"same production generation and replay as ART-049",,40.232674,,29982720,"passed: 52447 gamma below 3; 1378 gamma=3 alpha=4; 391 gamma=alpha=3 with empty k=3 fixed point","binds search ledger, independent coverage report/state, checker sources and every per-row certificate"
ART-051,src/evaluation_checker/audit.py,0a328fe95af1c4f4c67e10017be7c0fa71db3d075df38c99f5d846fabaeb8711,2026-07-25T15:20:00-07:00,k3_structural_review,"independent mathematical extension checker",,,,,"checker source-set SHA256 773dd8ac818d027f832b21b385d1f5378fc29a8b9cf007675a5368d83e418740","imports neither search nor verifier A/B; full 130-test suite and separate 8.3-second verify-only replay passed"
ART-052,tools/bootstrap_sat.sh,d8f5866d70d5ecc9069a0479073b80d8f6d10e5081164f78cea9aef83f398156,2026-07-25T15:25:00-07:00,root,"./tools/bootstrap_sat.sh",,,,,"built pinned CaDiCaL 3.0.1 and DRAT-trim v05.22.2023 locally with two jobs","source archive and binary hashes recorded in results/environment.md; bundled ph4 UNSAT proof returned s VERIFIED"
ART-053,math/lemmas/k3_antihole_elimination.md,9e572203c09e082c3cbdfc0cdae8e4166007af3f909b73f7d8d2e196f04ddc4f,2026-07-25T15:35:00-07:00,root,"self-contained C7 obstruction and SPGT odd-antihole elimination",,,,,"proved three-template order-12 parameter-three reduction","classical cycle value primary-source checked; accepted by ART-054"
ART-054,reviews/k3_antihole_hostile_review.md,7837fb360328533ea58a31d1a0eb60ef279a67d1e610144eb5206661ef38f5e3,2026-07-25T15:36:00-07:00,extension_engine_review,"independent mathematical, dependency, primary-source and computational audit",,,,,"accepted C7 obstruction, odd-antihole elimination and hub-free C5/C7/C9 conclusion","exact C7 GFP gives no k=3 family and a 28-state k=4 family; one low exposition omission repaired and rechecked"
ART-055,reviews/k3_antihole_hostile_probe.py,0eadbc484e2502ff73835baca153f4587216bf5b54d8833fb4c019c248d341a8,2026-07-25T15:36:00-07:00,extension_engine_review,"independent exact C7 and complement-C7 probe",,,,,"computational conclusions agree with the self-contained proof","imports neither campaign eternal evaluator"
ART-056,src/search/edge_toggle_killtest.py,f1fdcb6f61426920e347aa81d64ea9e95dbae094956762cf42bbc637cb3f4336,2026-07-25T15:40:00-07:00,extension_generator,"validation-gated resumable engine for all one-edge toggles of the 391 closest extension seeds",,,,,"accepted for launch over exactly 25641 raw seed/pair origins; production run not represented by this row","15 focused tests; exact coverage reconstruction; source/input/runtime binding; ART-058 hostile review"
ART-057,math/edge_toggle_search_scope.md,15b12a52563eac14b09f73f8fecdac9ff05ebc4ca060ff3324da1c0f2ce8e1c1,2026-07-25T15:40:00-07:00,extension_generator,"exact finite-universe, transaction, parameter, candidate-freeze and claim-boundary protocol",,,,,"391 bound seeds: 15 order 11 and 376 order 12; exactly 25641 unordered-pair toggles","coverage arithmetic and implementation mapping accepted by ART-058"
ART-058,reviews/edge_toggle_engine_hostile_review.md,5313a401cb526fde0c5f6b78a8c268e3890c7d72136ee440d690caf3e235707b,2026-07-25T15:41:00-07:00,edge_toggle_review,"independent coverage, semantics, parameter, crash, candidate and path-safety audit plus repair re-review",,,,,"accepted repaired engine for production launch; no open high or medium finding","all 25641 toggles independently reconstructed; 1173 isomorphism checks; 728 labeled n=5 dual-parameter checks; former SQLite-overwrite path and nine aliases now rejected"
ART-059,src/synthesis_k3/encoding.py,fda94aeb7a2c48e64f1b9a975c27263b100542359c13264f4a625f115ff563c6,2026-07-25T15:49:00-07:00,root,"deterministic exact complement CNF for the four order-12 parameter-three SPGT templates",,,,,"6886 variables; 20008/20017/20030/20010 base clauses for hole5/hole7/hole9/antihole7","independent clause-multiset reconstruction, truth tables, 400 relabelings and base model probes accepted by ART-062"
ART-060,src/synthesis_k3/generate.py,456029e08a199e3cc8d4aa6070e3209d6884901fc6c3db8486b80862614430e1,2026-07-25T15:49:00-07:00,root,"source-bound atomic CNF/manifest generator with strict coloring-cut ingestion",,,,,"generator source-set SHA256 e48f1b430cfa5d1421bb8e7c856d70db8fc634b27d6cbd51d7d22e11f16d30bd","collision/TOCTOU/source-binding/replay defects repaired; exact recorded invocation reproduced byte-for-byte under scrubbed environment"
ART-061,tests/test_synthesis_k3_encoding.py,da1cd28cfa8c9e594621d41e12f3ce00ea2958ff7b429ed546053c019139de89,2026-07-25T15:49:00-07:00,root,"PYTHONPATH=src PYTHONWARNINGS=error python3 -m unittest -v tests.test_synthesis_k3_encoding tests.test_synthesis_k3_coloring",,1.888,,,"12 of 12 focused tests passed; full campaign suite 144 of 144","exact clauses, template units, moves, strict validator, path aliases, source manifest, replay command, coloring partitions and DSATUR"
ART-062,reviews/synthesis_k3_encoding_hostile_review.md,0bf04808405e92392a61da4157daa6fc5e7ddb4ec36fe6ba8f24df907703b947,2026-07-25T15:50:00-07:00,k3_structural_review,"independent clause, truth-table, relabeling, coloring, generator-integrity and repair re-audit",,,,,"accepted mathematical CNF, all templates, coloring cuts, DSATUR, strict decoded validator and certificate-safe generator","1024 labeled five-vertex complements; 400 relabelings; 1100 exhaustive and 1400 random coloring cases; all findings closed"
ART-063,reviews/synthesis_k3_encoding_hostile_probe.py,0b241af3abaaea316e653dd5a61ae5669b918ac2ac0611a7f4bf23585cfc5aba,2026-07-25T15:50:00-07:00,k3_structural_review,"independently written synthesis encoding and generator probe",,,,,"all mathematical and artifact-integrity checks passed","imports neither eternal-domination evaluator and performs no CEGAR search"
ART-064,reviews/extension_coverage_hostile_review.md,f4b9ce703b2d4b22cac48f44d56b72ff1c4db46bb36925733be095c498b27f8c,2026-07-25T15:54:00-07:00,extension_engine_review,"independent full-ledger coverage/canonicalization/hash/path/resume hostile audit",,297.776,,40583168,"accepted ART-046 as sound for the exact 110537-origin to 54216-key coverage claim","all mappings, multiplicities, first origins, CSVs and hashes independently replayed; one low operational limit qualification recorded"
ART-065,reviews/extension_coverage_hostile_probe.py,9fea13d8e31b864e27451c2f6cb48bbc27a9990bb04cf966b4b444db646c6c82,2026-07-25T15:54:00-07:00,extension_engine_review,"no-import full production reconstruction and tamper probe",,297.776,,40583168,"110537 origins and 54216 canonical keys passed","receipt tamper failed closed; exact and symlink aliases rejected; production bytes unchanged"
ART-066,results/checkpoints/edge_toggles.sqlite3,2a6349452906cf2904a5e9e6284806f603619ad28ec66fa63fc383f2b833b258,2026-07-25T16:00:00-07:00,root,"PYTHONPATH=src PYTHONWARNINGS=error python3 -m search.edge_toggle_killtest --validation-gate-open --seed-input results/extensions_unique.csv --extension-audit results/extension_coverage_audit.json --labelg tools/nauty2_9_3/labelg --database results/checkpoints/edge_toggles.sqlite3 --checkpoint results/checkpoints/edge_toggles.json --candidate-dir certificates/frozen_edge_toggle_candidates --provenance-output results/edge_toggles_provenance.csv --unique-output results/edge_toggles_unique.csv --batch-size 32 --wall-limit-seconds 2700 --memory-limit-mib 1024",,724.273111,709.438877,79609856,"25641 origins complete; 19136 global canonical graphs; all gamma below gamma-infinity; no candidate","ACID ledger and internal A/B agreement; independent post-run coverage and mathematical audits pending"
ART-067,results/checkpoints/edge_toggles.json,f00b404fdfc09ac95f8b56325ef58a3399559b33eb1b659e304fdc81ed512ffc,2026-07-25T16:00:00-07:00,root,"same production run as ART-066",,724.273111,709.438877,79609856,"391 of 391 seeds and 25641 of 25641 origins complete","binds database, inputs, engine/evaluator sources, per-seed streams, output hashes and empty candidate state"
ART-068,results/edge_toggles_provenance.csv,378e867d5ec0d419f668f5169dbac6f2319cd2afc9ce3c5f63da2b9677dccba5,2026-07-25T16:00:00-07:00,root,"same production run as ART-066",,724.273111,709.438877,79609856,"25641 ordered seed/pair origins","every raw add/delete toggle retained with canonical key and category; independent audit pending"
ART-069,results/edge_toggles_unique.csv,a32505df6ba67479b5908a91711d21babb14fd8ac50cdfd0f0b92fc1001d4319,2026-07-25T16:00:00-07:00,root,"same production run as ART-066",,724.273111,709.438877,79609856,"19136 unique canonical connected graphs; no equality row","canonical multiplicities sum to 25641; independent coverage and third mathematical certificate gates pending"
